Area Code,Date,Territory,Territory Size,Product,Product Line,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Total Expenses
775,1/1/2012,West,Small Territory,Decaf Espresso,Beans,Espresso,Nevada,Decaf,$10 ,$30 ,$20 ,$40 ,$17 ,777,$26 ,$4 ,$11 ,$43 ,$15 
971,1/1/2012,West,Small Territory,Decaf Espresso,Beans,Espresso,Oregon,Decaf,$160 ,$160 ,$100 ,$320 ,$170 ,"1,091",$171 ,$47 ,$99 ,$341 ,$72 
435,1/1/2012,West,Small Territory,Decaf Espresso,Beans,Espresso,Utah,Decaf,$40 ,$70 ,$50 ,$110 ,$50 ,821,$73 ,$14 ,$47 ,$123 ,$26 
206,1/1/2012,West,Small Territory,Decaf Espresso,Beans,Espresso,Washington,Decaf,$60 ,$80 ,$60 ,$140 ,$69 ,965,$81 ,$21 ,$39 ,$150 ,$42 
319,1/1/2012,Central,Small Territory,Amaretto,Beans,Coffee,Iowa,Regular,$10 ,$30 ,$20 ,$40 ,$18 ,821,$27 ,$5 ,$11 ,$45 ,$16 
262,1/1/2012,Central,Small Territory,Amaretto,Beans,Coffee,Wisconsin,Regular,$50 ,$70 ,$30 ,$120 ,$54 ,312,$66 ,$20 ,$13 ,$120 ,$53 
641,1/1/2012,Central,Small Territory,Colombian,Beans,Coffee,Iowa,Regular,$20 ,$40 ,$20 ,$60 ,$28 ,965,$34 ,$8 ,$5 ,$62 ,$29 
636,1/1/2012,Central,Small Territory,Colombian,Beans,Coffee,Missouri,Regular,$90 ,$100 ,$40 ,$190 ,$85 ,494,$105 ,$32 ,$39 ,$190 ,$66 
262,1/1/2012,Central,Small Territory,Colombian,Beans,Coffee,Wisconsin,Regular,$80 ,$110 ,$20 ,$190 ,$79 ,551,$111 ,$72 ,$9 ,$190 ,$102 
563,1/1/2012,Central,Small Territory,Caffe Mocha,Beans,Espresso,Iowa,Regular,$10 ,$40 ,$30 ,$50 ,$17 ,777,$26 ,$4 ,$11 ,$43 ,$15 
573,1/1/2012,Central,Small Territory,Caffe Mocha,Beans,Espresso,Missouri,Regular,$50 ,$90 ,$70 ,$140 ,$50 ,821,$73 ,$14 ,$48 ,$123 ,$25 
414,1/1/2012,Central,Small Territory,Caffe Mocha,Beans,Espresso,Wisconsin,Regular,$80 ,$90 ,$50 ,$170 ,$69 ,965,$81 ,$21 ,$38 ,$150 ,$43 
603,1/1/2012,East,Small Territory,Amaretto,Beans,Coffee,New Hampshire,Regular,$30 ,$50 ,$30 ,$80 ,$38 ,241,$55 ,$12 ,$20 ,$93 ,$35 
475,1/1/2012,East,Small Territory,Colombian,Beans,Coffee,Connecticut,Regular,$110 ,$180 ,$130 ,$290 ,$124 ,961,$186 ,$40 ,$115 ,$310 ,$71 
603,1/1/2012,East,Small Territory,Colombian,Beans,Coffee,New Hampshire,Regular,$40 ,$70 ,$40 ,$110 ,$48 ,372,$72 ,$15 ,$25 ,$120 ,$47 
860,1/1/2012,East,Small Territory,Caffe Mocha,Beans,Espresso,Connecticut,Regular,$70 ,$100 ,$20 ,$170 ,$75 ,522,$105 ,$68 ,$7 ,$180 ,$98 
603,1/1/2012,East,Small Territory,Caffe Mocha,Beans,Espresso,New Hampshire,Regular,$30 ,$50 ,$0 ,$80 ,$37 ,261,$53 ,$34 ,($10),$90 ,$63 
603,1/1/2012,East,Small Territory,Regular Espresso,Beans,Espresso,New Hampshire,Regular,$20 ,$40 ,$0 ,$60 ,$29 ,169,$36 ,$11 ,($8),$65 ,$44 
225,1/1/2012,South,Small Territory,Colombian,Beans,Coffee,Louisiana,Regular,$40 ,$60 ,$50 ,$100 ,$34 ,777,$51 ,$9 ,$30 ,$85 ,$21 
505,1/1/2012,South,Small Territory,Colombian,Beans,Coffee,New Mexico,Regular,$60 ,$90 ,$50 ,$150 ,$48 ,372,$72 ,$15 ,$26 ,$120 ,$46 
580,1/1/2012,South,Small Territory,Colombian,Beans,Coffee,Oklahoma,Regular,$50 ,$70 ,$50 ,$120 ,$44 ,623,$56 ,$14 ,$29 ,$100 ,$27 
504,1/1/2012,South,Small Territory,Caffe Latte,Beans,Espresso,Louisiana,Regular,$60 ,$90 ,$10 ,$150 ,$75 ,522,$105 ,$68 ,$8 ,$180 ,$97 
505,1/1/2012,South,Small Territory,Caffe Latte,Beans,Espresso,New Mexico,Regular,$20 ,$30 ,$0 ,$50 ,$29 ,169,$36 ,$11 ,($8),$65 ,$44 
405,1/1/2012,South,Small Territory,Caffe Latte,Beans,Espresso,Oklahoma,Regular,$70 ,$100 ,$70 ,$170 ,$84 ,500,$116 ,$26 ,$66 ,$200 ,$50 
337,1/1/2012,South,Small Territory,Caffe Mocha,Beans,Espresso,Louisiana,Regular,$50 ,$100 ,$80 ,$150 ,$67 ,400,$113 ,$20 ,$70 ,$180 ,$43 
505,1/1/2012,South,Small Territory,Caffe Mocha,Beans,Espresso,New Mexico,Regular,$30 ,$40 ,($10),$70 ,$37 ,261,$53 ,$34 ,($10),$90 ,$63 
405,1/1/2012,South,Small Territory,Caffe Mocha,Beans,Espresso,Oklahoma,Regular,$20 ,$40 ,$40 ,$60 ,$32 ,456,$48 ,$8 ,$28 ,$80 ,$20 
541,1/1/2012,West,Small Territory,Amaretto,Beans,Coffee,Oregon,Regular,$70 ,$110 ,$40 ,$180 ,$63 ,435,$87 ,$57 ,$1 ,$150 ,$86 
801,1/1/2012,West,Small Territory,Amaretto,Beans,Coffee,Utah,Regular,$90 ,$120 ,$80 ,$210 ,$78 ,965,$92 ,$24 ,$47 ,$170 ,$45 
702,1/1/2012,West,Small Territory,Colombian,Beans,Coffee,Nevada,Regular,$40 ,$50 ,$10 ,$90 ,$34 ,197,$42 ,$12 ,($3),$76 ,$45 
503,1/1/2012,West,Small Territory,Colombian,Beans,Coffee,Oregon,Regular,$80 ,$120 ,$60 ,$200 ,$67 ,400,$93 ,$22 ,$28 ,$160 ,$65 
435,1/1/2012,West,Small Territory,Colombian,Beans,Coffee,Utah,Regular,$60 ,$100 ,$70 ,$160 ,$55 ,312,$75 ,$18 ,$30 ,$130 ,$45 
206,1/1/2012,West,Small Territory,Colombian,Beans,Coffee,Washington,Regular,$60 ,$100 ,$70 ,$160 ,$53 ,338,$77 ,$16 ,$38 ,$130 ,$39 
775,1/1/2012,West,Small Territory,Caffe Latte,Beans,Espresso,Nevada,Regular,$10 ,$30 ,$20 ,$40 ,$17 ,777,$26 ,$4 ,$11 ,$43 ,$15 
503,1/1/2012,West,Small Territory,Caffe Latte,Beans,Espresso,Oregon,Regular,$50 ,$70 ,$20 ,$120 ,$58 ,338,$72 ,$22 ,$16 ,$130 ,$56 
435,1/1/2012,West,Small Territory,Caffe Latte,Beans,Espresso,Utah,Regular,$40 ,$60 ,$40 ,$100 ,$46 ,777,$68 ,$12 ,$44 ,$114 ,$24 
425,1/1/2012,West,Small Territory,Caffe Latte,Beans,Espresso,Washington,Regular,$40 ,$60 ,$40 ,$100 ,$48 ,623,$62 ,$15 ,$35 ,$110 ,$27 
702,1/1/2012,West,Small Territory,Caffe Mocha,Beans,Espresso,Nevada,Regular,$10 ,$30 ,$20 ,$40 ,$18 ,821,$27 ,$5 ,$10 ,$45 ,$17 
503,1/1/2012,West,Small Territory,Caffe Mocha,Beans,Espresso,Oregon,Regular,$50 ,$80 ,$50 ,$130 ,$60 ,336,$80 ,$19 ,$33 ,$140 ,$47 
435,1/1/2012,West,Small Territory,Caffe Mocha,Beans,Espresso,Utah,Regular,$40 ,$60 ,$40 ,$100 ,$49 ,623,$63 ,$16 ,$34 ,$112 ,$29 
253,1/1/2012,West,Small Territory,Caffe Mocha,Beans,Espresso,Washington,Regular,$50 ,$60 ,$20 ,$110 ,$54 ,312,$66 ,$20 ,$13 ,$120 ,$53 
641,1/1/2012,Central,Small Territory,Chamomile,Leaves,Herbal Tea,Iowa,Decaf,$200 ,$280 ,$200 ,$480 ,$234 ,"1,310",$312 ,$77 ,$202 ,$546 ,$110 
573,1/1/2012,Central,Small Territory,Chamomile,Leaves,Herbal Tea,Missouri,Decaf,$30 ,$40 ,$0 ,$70 ,$37 ,261,$53 ,$34 ,($11),$90 ,$64 
715,1/1/2012,Central,Small Territory,Chamomile,Leaves,Herbal Tea,Wisconsin,Decaf,$50 ,$100 ,$80 ,$150 ,$67 ,400,$113 ,$20 ,$70 ,$180 ,$43 
563,1/1/2012,Central,Small Territory,Lemon,Leaves,Herbal Tea,Iowa,Decaf,$80 ,$120 ,$90 ,$200 ,$95 ,608,$139 ,$30 ,$86 ,$234 ,$53 
314,1/1/2012,Central,Small Territory,Lemon,Leaves,Herbal Tea,Missouri,Decaf,$70 ,$10 ,($20),$80 ,$88 ,525,$11 ,$27 ,($39),$99 ,$50 
715,1/1/2012,Central,Small Territory,Lemon,Leaves,Herbal Tea,Wisconsin,Decaf,$20 ,$50 ,$50 ,$70 ,$33 ,777,$48 ,$9 ,$28 ,$81 ,$20 
860,1/1/2012,East,Small Territory,Lemon,Leaves,Herbal Tea,Connecticut,Decaf,$60 ,$80 ,$40 ,$140 ,$85 ,494,$105 ,$32 ,$40 ,$190 ,$65 
603,1/1/2012,East,Small Territory,Lemon,Leaves,Herbal Tea,New Hampshire,Decaf,$20 ,$30 ,$0 ,$50 ,$34 ,197,$42 ,$12 ,($4),$76 ,$46 
475,1/1/2012,East,Small Territory,Mint,Leaves,Herbal Tea,Connecticut,Decaf,$50 ,$80 ,$50 ,$130 ,$78 ,965,$92 ,$24 ,$47 ,$170 ,$45 
337,1/1/2012,South,Small Territory,Chamomile,Leaves,Herbal Tea,Louisiana,Decaf,$40 ,$60 ,$40 ,$100 ,$49 ,623,$63 ,$16 ,$35 ,$112 ,$28 
505,1/1/2012,South,Small Territory,Chamomile,Leaves,Herbal Tea,New Mexico,Decaf,$10 ,$30 ,$20 ,$40 ,$18 ,821,$27 ,$5 ,$11 ,$45 ,$16 
918,1/1/2012,South,Small Territory,Chamomile,Leaves,Herbal Tea,Oklahoma,Decaf,$50 ,$60 ,$20 ,$110 ,$54 ,312,$66 ,$20 ,$13 ,$120 ,$53 
504,1/1/2012,South,Small Territory,Lemon,Leaves,Herbal Tea,Louisiana,Decaf,$80 ,$100 ,$40 ,$180 ,$85 ,494,$105 ,$32 ,$40 ,$190 ,$65 
505,1/1/2012,South,Small Territory,Lemon,Leaves,Herbal Tea,New Mexico,Decaf,$20 ,$40 ,$20 ,$60 ,$28 ,965,$34 ,$8 ,$4 ,$62 ,$30 
580,1/1/2012,South,Small Territory,Lemon,Leaves,Herbal Tea,Oklahoma,Decaf,$70 ,$110 ,$30 ,$180 ,$79 ,551,$111 ,$72 ,$10 ,$190 ,$101 
702,1/1/2012,West,Small Territory,Chamomile,Leaves,Herbal Tea,Nevada,Decaf,$90 ,$130 ,$30 ,$220 ,$105 ,725,$145 ,$95 ,$16 ,$250 ,$129 
